method,scenario,horizon,minimum,median,p90,p95,p99,p99_5,p99_9,maximum,above_2,above_5,above_10,below_0_5
soft_log_t3_c10,ssp5-8.5,2035,0.2058015616448848,1.0,1.0303030303030303,1.0457025701281704,1.0999999999999999,1.25,2.0,2.0,0,0,0,1
soft_log_t3_c10,ssp5-8.5,2040,0.1332469720032768,1.0,1.048722305077382,1.0714285714285714,1.2311686694516952,1.3333333333333335,2.0,2.2227557232273,3,0,0,1
soft_log_t3_c10,ssp5-8.5,2045,0.1332469720032768,1.0,1.0666666666666667,1.096105876851441,1.3333333333333333,1.5091666666666141,2.0,3.0,4,0,0,1
soft_log_t3_c10,ssp5-8.5,2050,0.1332469720032768,1.0,1.0851266067487912,1.1235098297287043,1.3789210390660696,2.0,2.0,3.978646067752111,5,0,0,1
soft_log_t3_c10,ssp5-8.5,2055,0.1332469720032768,1.0,1.1052631578947367,1.1498880452488207,1.5,2.0,2.0,7.504860973316588,11,1,0,1
soft_log_t3_c10,ssp5-8.5,2060,0.1332469720032768,1.0,1.1253281575080591,1.1753465725821493,1.5,2.0,2.1239444444442293,9.498826087842431,14,2,0,1
soft_log_t3_c10,ssp5-8.5,2065,0.1332469720032768,1.0,1.1493183022359985,1.2,1.9256357373285882,2.0,2.5,9.820343973199497,19,3,0,1
soft_log_t3_c10,ssp5-8.5,2070,0.1103856174412397,1.0001,1.1761420114045913,1.2316195341365446,2.0,2.0,2.5119557377047177,9.91594861843475,27,4,0,1
soft_log_t3_c10,ssp5-8.5,2075,0.10715250943346663,1.0005360016025124,1.2011546488147375,1.2622536669593665,2.0,2.0,2.8610358211672184,9.95004264447152,32,8,0,1
soft_log_t3_c10,ssp5-8.5,2080,0.10715250943346663,1.0013268592241675,1.2298884851865601,1.3174603174603174,2.0,2.0,3.3285205270568006,9.967527172856823,40,10,0,1
soft_log_t3_c10,ssp5-8.5,2085,0.10442613728835883,1.0028323999630349,1.251872099250832,1.3418806161745827,2.0,2.0,3.987150200784699,9.97756445775427,49,10,0,2
soft_log_t3_c10,ssp5-8.5,2090,0.10442613728835883,1.0053232680934125,1.2871053109568538,1.4248118252249236,2.0,2.0,4.6491493877810575,9.983418016746615,58,11,0,2
soft_log_t3_c10,ssp5-8.5,2095,0.10442613728835883,1.007957144175093,1.32783,1.5,2.0,2.2168994123063404,5.031390654336316,9.987159686045917,67,13,0,2
soft_log_t3_c10,ssp5-8.5,2100,0.10442613728835883,1.0124219929652487,1.3501094890510952,1.5,2.0,2.5,5.373887697095531,9.989887144560047,89,14,0,2
soft_log_t5_c10,ssp2-4.5,2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0
