cell_id,lat_idx,lon_idx,lat_center,lon_center,state_abbr,source_uri,ssp2-4.5_baseline_available,ssp2-4.5_future_nonnull_count,ssp5-8.5_baseline_available,ssp5-8.5_future_nonnull_count
250155,173,1035,46.75,-101.25,ND,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_250155_ND_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
250156,173,1036,46.75,-101.0,ND,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_250156_ND_MISO_OnshoreWind_physical_risks.xlsx,False,0,False,0
251521,174,961,46.5,-119.75,WA,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_251521_WA_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
251522,174,962,46.5,-119.5,WA,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_251522_WA_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
251560,174,1000,46.5,-110.0,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_251560_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
251564,174,1004,46.5,-109.0,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_251564_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
251570,174,1010,46.5,-107.5,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_251570_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
251571,174,1011,46.5,-107.25,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_251571_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
251579,174,1019,46.5,-105.25,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_251579_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
251580,174,1020,46.5,-105.0,MT,gs://infrasure-scr-data/onshore_wind/physical_risk/CONUS13K_Cell_251580_MT_WEIM_OnshoreWind_physical_risks.xlsx,False,0,False,0
