cell_id,lat_idx,lon_idx,lat_center,lon_center,state_abbr
291864,202,984,39.5,-114.0,UT
291865,202,985,39.5,-113.75,UT
291866,202,986,39.5,-113.5,UT
291867,202,987,39.5,-113.25,UT
291868,202,988,39.5,-113.0,UT
291878,202,998,39.5,-110.5,UT
291905,202,1025,39.5,-103.75,CO
291906,202,1026,39.5,-103.5,CO
291907,202,1027,39.5,-103.25,CO
291977,202,1097,39.5,-85.75,IN
291978,202,1098,39.5,-85.5,IN
291985,202,1105,39.5,-83.75,OH
293283,203,963,39.25,-119.25,NV
293285,203,965,39.25,-118.75,NV
293286,203,966,39.25,-118.5,NV
293287,203,967,39.25,-118.25,NV
293288,203,968,39.25,-118.0,NV
293291,203,971,39.25,-117.25,NV
293296,203,976,39.25,-116.0,NV
293299,203,979,39.25,-115.25,NV
293305,203,985,39.25,-113.75,UT
293307,203,987,39.25,-113.25,UT
293308,203,988,39.25,-113.0,UT
293318,203,998,39.25,-110.5,UT
293324,203,1004,39.25,-109.0,CO
293341,203,1021,39.25,-104.75,CO
293344,203,1024,39.25,-104.0,CO
293345,203,1025,39.25,-103.75,CO
293346,203,1026,39.25,-103.5,CO
293347,203,1027,39.25,-103.25,CO
293359,203,1039,39.25,-100.25,KS
293426,203,1106,39.25,-83.5,OH
294720,204,960,39.0,-120.0,NV
294724,204,964,39.0,-119.0,NV
294726,204,966,39.0,-118.5,NV
294727,204,967,39.0,-118.25,NV
294728,204,968,39.0,-118.0,NV
294732,204,972,39.0,-117.0,NV
294737,204,977,39.0,-115.75,NV
294740,204,980,39.0,-115.0,NV
294741,204,981,39.0,-114.75,NV
294747,204,987,39.0,-113.25,UT
294748,204,988,39.0,-113.0,UT
294757,204,997,39.0,-110.75,UT
294760,204,1000,39.0,-110.0,UT
294762,204,1002,39.0,-109.5,UT
294777,204,1017,39.0,-105.75,CO
294783,204,1023,39.0,-104.25,CO
294784,204,1024,39.0,-104.0,CO
294787,204,1027,39.0,-103.25,CO
294790,204,1030,39.0,-102.5,CO
294793,204,1033,39.0,-101.75,KS
296165,205,965,38.75,-118.75,NV
296166,205,966,38.75,-118.5,NV
296168,205,968,38.75,-118.0,NV
